epoch	train_mse	test_mse	test_accuracy
406	0.247786	0.247224	0.5488
407	0.247784	0.247223	0.5488
408	0.247783	0.247221	0.5488
409	0.247782	0.247220	0.5488
410	0.247780	0.247218	0.5488
411	0.247779	0.247217	0.5488
412	0.247778	0.247215	0.5488
413	0.247776	0.247214	0.5488
414	0.247775	0.247213	0.5488
415	0.247774	0.247211	0.5488
416	0.247772	0.247210	0.5488
417	0.247771	0.247208	0.5488
418	0.247769	0.247207	0.5488
419	0.247768	0.247205	0.5488
420	0.247767	0.247204	0.5488
421	0.247765	0.247202	0.5488
422	0.247764	0.247201	0.5488
423	0.247763	0.247199	0.5488
424	0.247761	0.247198	0.5488
425	0.247760	0.247196	0.5488
426	0.247759	0.247195	0.5488
427	0.247757	0.247193	0.5488
428	0.247756	0.247192	0.5488
429	0.247754	0.247190	0.5488
430	0.247753	0.247189	0.5488
431	0.247752	0.247187	0.5488
432	0.247750	0.247186	0.5488
433	0.247749	0.247184	0.5488
434	0.247748	0.247183	0.5488
435	0.247746	0.247181	0.5488
436	0.247745	0.247180	0.5488
437	0.247743	0.247178	0.5488
438	0.247742	0.247177	0.5488
439	0.247741	0.247175	0.5488
440	0.247739	0.247174	0.5488
441	0.247738	0.247172	0.5488
442	0.247736	0.247171	0.5488
443	0.247735	0.247169	0.5488
444	0.247734	0.247168	0.5488
445	0.247732	0.247166	0.5488
446	0.247731	0.247165	0.5488
447	0.247729	0.247163	0.5488
448	0.247728	0.247161	0.5488
449	0.247727	0.247160	0.5488
450	0.247725	0.247158	0.5488
451	0.247724	0.247157	0.5488
452	0.247722	0.247155	0.5488
453	0.247721	0.247154	0.5488
454	0.247719	0.247152	0.5488
455	0.247718	0.247151	0.5488
456	0.247717	0.247149	0.5488
457	0.247715	0.247148	0.5488
458	0.247714	0.247146	0.5488
459	0.247712	0.247145	0.5488
460	0.247711	0.247143	0.5488
461	0.247709	0.247141	0.5488
462	0.247708	0.247140	0.5488
463	0.247707	0.247138	0.5488
464	0.247705	0.247137	0.5488
465	0.247704	0.247135	0.5488
466	0.247702	0.247134	0.5488
467	0.247701	0.247132	0.5488
468	0.247699	0.247130	0.5488
469	0.247698	0.247129	0.5488
470	0.247696	0.247127	0.5488
471	0.247695	0.247126	0.5488
472	0.247694	0.247124	0.5488
473	0.247692	0.247123	0.5488
474	0.247691	0.247121	0.5488
475	0.247689	0.247119	0.5488
476	0.247688	0.247118	0.5488
477	0.247686	0.247116	0.5488
478	0.247685	0.247115	0.5488
479	0.247683	0.247113	0.5488
480	0.247682	0.247111	0.5488
481	0.247680	0.247110	0.5488
482	0.247679	0.247108	0.5488
483	0.247677	0.247107	0.5488
484	0.247676	0.247105	0.5488
485	0.247674	0.247103	0.5488
486	0.247673	0.247102	0.5488
487	0.247671	0.247100	0.5488
488	0.247670	0.247099	0.5488
489	0.247668	0.247097	0.5488
490	0.247667	0.247095	0.5488
491	0.247665	0.247094	0.5488
492	0.247664	0.247092	0.5488
493	0.247662	0.247091	0.5488
494	0.247661	0.247089	0.5488
495	0.247659	0.247087	0.5488
496	0.247658	0.247086	0.5488
497	0.247656	0.247084	0.5488
498	0.247655	0.247082	0.5488
499	0.247653	0.247081	0.5488
500	0.247652	0.247079	0.5488
501	0.247650	0.247078	0.5488
502	0.247649	0.247076	0.5488
503	0.247647	0.247074	0.5488
504	0.247646	0.247073	0.5488
505	0.247644	0.247071	0.5488
506	0.247643	0.247069	0.5488
507	0.247641	0.247068	0.5488
508	0.247640	0.247066	0.5488
509	0.247638	0.247064	0.5488
510	0.247637	0.247063	0.5488
511	0.247635	0.247061	0.5488
512	0.247634	0.247059	0.5488
513	0.247632	0.247058	0.5488
514	0.247631	0.247056	0.5488
515	0.247629	0.247054	0.5488
516	0.247627	0.247053	0.5488
517	0.247626	0.247051	0.5488
518	0.247624	0.247049	0.5488
519	0.247623	0.247048	0.5488
520	0.247621	0.247046	0.5488
521	0.247620	0.247044	0.5488
